Data,Alg.,adj_Patn,adj_maxf1,adj_ap,auc,AMI,ireos_java,decision_tree_native,decision_tree_sklearn,random_forest_native,random_forest_sklearn,liblinear,xgboost_tree,xgboost_dart,xgboost_linear,libsvm
complex_20,sdo,2.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0
complex_20,abod,5.0,4.0,5.0,5.0,5.0,1.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0
complex_20,hbos,6.0,6.0,6.0,6.0,6.0,3.0,5.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0
complex_20,iforest,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
complex_20,knn,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,1.0
complex_20,lof,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,2.0,6.0,1.0,6.0,6.0,6.0,6.0
complex_20,ocsvm,3.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0
