Data,Alg.,adj_Patn,adj_maxf1,adj_ap,auc,AMI,ireos_java,decision_tree_native,decision_tree_sklearn,random_forest_native,random_forest_sklearn,liblinear,xgboost_tree,xgboost_dart,xgboost_linear,libsvm
complex_19,sdo,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
complex_19,abod,5.0,3.0,5.0,4.0,5.0,1.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,6.0,7.0
complex_19,hbos,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0
complex_19,iforest,3.5,4.0,4.0,3.0,3.5,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
complex_19,knn,1.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0
complex_19,lof,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0
complex_19,ocsvm,3.5,5.0,3.0,5.0,3.5,2.0,5.0,6.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0
