Data,Alg.,adj_Patn,adj_maxf1,adj_ap,auc,AMI,ireos_java,decision_tree_native,decision_tree_sklearn,random_forest_native,random_forest_sklearn,liblinear,xgboost_tree,xgboost_dart,xgboost_linear,libsvm
complex_1,sdo,1.0,1.0,1.0,1.0,1.0,0.57549,0.5322855211858506,0.978538867737924,0.4904073033272705,0.3351500145922251,0.008190318632293,0.1355197936402311,0.0712597536624722,0.0009000923919524,0.0007936241806442
complex_1,abod,0.99541589958159,0.9965583246073298,0.9996935880003064,0.9999728033472804,0.9811342256904008,0.73214,0.508427926599745,0.9266831707373218,0.5016253298916948,0.3048792543870123,0.0035325451552811,0.1235403767458006,0.0364280512369282,0.0004548917481337,0.000540494492439
complex_1,hbos,0.885397489539749,0.9383951488423372,0.9935840241506168,0.9834753138075316,0.8537157872705506,0.67746,0.512496572436321,0.9501700095815347,0.4977380153835558,0.3040255334876923,0.0055896899243364,0.1251933491422092,0.0420932344174838,0.0005696246683256,0.0005912281423441
complex_1,iforest,0.99541589958159,0.997703144654088,0.9999856046950536,0.9999979079497908,0.9811342256904008,0.76623,0.5155045729873299,0.9516860593020612,0.498227194838628,0.3116638314365964,0.0056427716741378,0.1266491167135456,0.0470357424755338,0.0006353460667834,0.000613345273496
complex_1,knn,1.0,1.0,1.0,1.0,1.0,0.63658,0.5333831220421427,0.980736734754222,0.4911633021101813,0.3379059120092689,0.0085088921702118,0.1353563605021988,0.0714482835367035,0.0008513014927649,0.0007920388917827
complex_1,lof,0.2207029288702928,0.3001351170568561,0.5418085418560706,0.6692359832635983,0.061459325040438,0.05315,0.5469625280752438,0.9711825084508656,0.5029559155593089,0.353775441969631,0.0024781597628864,0.1386708015639232,0.0725739583209263,0.0004271622065567,0.0006468505716246
complex_1,ocsvm,0.9770794979079498,0.9861023255813952,0.9996811788115302,0.9840200836820086,0.925575705375804,0.86559,0.5104445355572655,0.92437219040202,0.4997127167484739,0.3065394526658984,0.0042210545633967,0.1246675736470333,0.0402075359788611,0.0005383484553741,0.0005637874922154
complex_2,sdo,0.923871032745592,0.926957894736842,0.986681721897352,0.9966312342569268,0.806471520614021,0.6024,0.5270090752069707,0.96906862121386,0.4995296324677086,0.1967776980834412,0.0036749611605072,0.1320057051621975,0.0620166843482795,0.0044107102393093,0.0040525177745635
complex_2,abod,0.937465491183879,0.9433282051282053,0.9800576994013236,0.9984498740554156,0.8061967493155876,0.72758,0.5078612359243541,0.9266430679273144,0.5033462105535946,0.1561487064044691,0.0018693589854312,0.122775982687263,0.0348134213868316,0.0013396677924896,0.0013566774008408
complex_2,hbos,0.5894473551637279,0.599271354705274,0.7528143264105865,0.9610962216624686,0.3362639513167845,0.56485,0.5184072370981894,0.9503948664277828,0.4997860287473795,0.1845167170452913,0.0024886600567628,0.1277712681559865,0.0496042451667717,0.00282295913957,0.0025611541401901
complex_2,iforest,0.823272040302267,0.8268631578947369,0.9509397143338812,0.9911531486146096,0.6304629681004154,0.6663,0.5191451073290965,0.9485022656229806,0.5000354562396035,0.1818060722477755,0.0027698919723935,0.1279307797101,0.0513496776434462,0.0030830684987282,0.0027840296904915
complex_2,knn,0.9564977329974812,0.9603262357414448,0.9926303139927314,0.9985523929471032,0.8827364433442214,0.56849,0.526614960826324,0.9679238691151628,0.4994643711698995,0.1954225563052508,0.0036316388326366,0.1318275709673421,0.0611516972461992,0.0043919782147333,0.0043119948544032
