dataset,clf,adaptive_quads_enabled,window_ratio,is_parallel,time,ireos_sdo,ireos_abod,ireos_hbos,ireos_iforest,ireos_knn,ireos_lof,ireos_ocsvm
high-noise_10,decision_tree_native,false,0.1,false,9.9739025,0.5665991277930577,0.5286258317017879,0.5627814599038419,0.539703875201272,0.5670167935719908,0.5607415408715138,0.5735774086378344
high-noise_10,decision_tree_native,false,0.5,false,52.1713211,0.504077511935636,0.49648421538367593,0.5043119161121833,0.49690128421024465,0.5040838519788218,0.5039757147677227,0.5053614649610061
high-noise_10,decision_tree_native,false,1.0,false,128.1517848,0.5281826160839118,0.476895580842901,0.5038387479398805,0.4300119421922273,0.528622941390861,0.5143918188733851,0.5338871587458144
high-noise_10,decision_tree_sklearn,false,0.1,false,3.7279892,0.9975338589234882,0.8840261581322748,0.9599783624941997,0.8443212333449578,0.9974980742801615,0.9745382704499072,0.999468389219236
high-noise_10,decision_tree_sklearn,false,0.5,false,30.1085117,0.9943817675832948,0.8232916602206184,0.9112989936955688,0.7001062541008727,0.9942909105602984,0.9453275830511222,0.9982829277378321
high-noise_10,decision_tree_sklearn,false,1.0,false,50.2299295,0.9785721247772486,0.59635435658025,0.8208203083000633,0.2825921388117481,0.9781040701673057,0.8697518088244806,0.9971824003552114
high-noise_10,random_forest_native,false,0.1,false,64.3350131,0.17910087202101327,0.07592567030486906,0.1505139142156271,0.04473332264016085,0.17894730233182252,0.16196322363535468,0.18567972730678262
high-noise_10,random_forest_native,false,0.5,false,286.318125,0.10142604173953906,0.11569153324875335,0.1147143171933082,0.1603316049568766,0.10145448458591956,0.11238007792327022,0.10157729199636104
high-noise_10,random_forest_native,false,1.0,false,203.6636165,0.18316791658131196,0.08139547668852741,0.1312174527971531,-0.015462970764712295,0.1829070598909321,0.1482522712297141,0.19921841772903323
high-noise_10,random_forest_sklearn,false,0.1,false,47.3288977,0.17910087202101327,0.07592567030486906,0.1505139142156271,0.04473332264016085,0.17894730233182252,0.16196322363535468,0.18567972730678262
high-noise_10,random_forest_sklearn,false,0.5,false,201.5133172,0.10142604173953906,0.11569153324875335,0.1147143171933082,0.1603316049568766,0.10145448458591956,0.11238007792327022,0.10157729199636104
high-noise_10,random_forest_sklearn,false,1.0,false,226.4777884,0.18316791658131196,0.08139547668852741,0.1312174527971531,-0.015462970764712295,0.1829070598909321,0.1482522712297141,0.19921841772903323
high-noise_10,liblinear,false,0.1,false,12.9108838,0.017252051851040534,0.0035810538432224184,0.010427797015906817,-0.010667165927213609,0.01714809317213984,0.01078710395605342,0.018270881342314988
high-noise_10,liblinear,false,0.5,false,31.6515577,0.0005287338250669165,0.0011456337934844449,0.0012293849920206022,0.0017548619199701907,0.000528869325811484,0.0008478164041552394,0.0005858369559362564
high-noise_10,liblinear,false,1.0,false,98.2590427,0.003835381905983981,0.0007412741998586161,0.0023704523331416587,-0.0026277691024059716,0.003761636247891096,0.001935163765502638,0.004261451117616699
high-noise_10,libsvm,true,1.0,false,1374.9785113,0.2440548037037582,0.000484671320100119,0.11003113157725594,-0.2561011338424987,0.24624687257890174,0.1704865448623726,0.27430877204618753
