dataset,clf,adaptive_quads_enabled,window_ratio,is_parallel,time,ireos_sdo,ireos_abod,ireos_hbos,ireos_iforest,ireos_knn,ireos_lof,ireos_ocsvm
complex_6,decision_tree_native,false,0.1,false,11.6012206,0.7041667194900025,0.5025670632879579,0.6074312801111664,0.5476824217113193,0.707809314209075,0.6201208457860398,0.7541300295574802
complex_6,decision_tree_native,false,0.5,false,68.3926448,0.6861840356043277,0.5015530924823418,0.6202379485357197,0.6306598895053183,0.6892303776616228,0.6332851007332462,0.7098885541142911
complex_6,decision_tree_native,false,1.0,false,124.6333977,0.5362840951682057,0.5015808697672647,0.5145891917862621,0.49924286714115845,0.536436138793754,0.5145550250825042,0.5566488263988344
complex_6,decision_tree_sklearn,false,0.1,false,7.1407794,0.9981688708401838,0.5363800182002443,0.9904633018692778,0.9840098819967955,0.9982931815942876,0.9905846313108653,1.000891901906925
complex_6,decision_tree_sklearn,false,0.5,false,38.270063,0.9960828139321257,0.774518953064511,0.9811633841206796,0.9774972419740763,0.996187606349177,0.9804364007721077,1.000984975672214
complex_6,decision_tree_sklearn,false,1.0,false,62.7027471,0.9837875672735357,0.7771038687865085,0.9600165855555319,0.9325366305749808,0.9841470498868282,0.9626934045086789,1.0028297812382259
complex_6,random_forest_native,false,0.1,false,29.6913109,0.2554099866714014,0.045346416489659015,0.19601887119514555,0.1523209680394649,0.258117404153656,0.20030833791045685,0.2844146024450186
complex_6,random_forest_native,false,0.5,false,26.7921032,0.33360110854451147,0.09954948508921764,0.26239141382326775,0.2740035022825024,0.3372447036484953,0.28101634651515095,0.3636175529372458
complex_6,random_forest_native,false,1.0,false,99.5820028,0.2742139938701883,0.21152697192182635,0.2534828196259097,0.25405622960444313,0.2755352753024955,0.26120970285856115,0.2991310546354772
complex_6,random_forest_sklearn,false,0.1,false,11.4230042,0.2554099866714014,0.045346416489659015,0.19601887119514555,0.1523209680394649,0.258117404153656,0.20030833791045685,0.2844146024450186
complex_6,random_forest_sklearn,false,0.5,false,57.0630411,0.33360110854451147,0.09954948508921764,0.26239141382326775,0.2740035022825024,0.3372447036484953,0.28101634651515095,0.3636175529372458
complex_6,random_forest_sklearn,false,1.0,false,101.4372403,0.2742139938701883,0.21152697192182635,0.2534828196259097,0.25405622960444313,0.2755352753024955,0.26120970285856115,0.2991310546354772
complex_6,liblinear,false,0.1,false,7.6197471,0.019647683995465626,0.006001295817532814,0.008810175411266023,0.0023873593336751465,0.020098843401259066,0.010333527421149924,0.024583325128881138
complex_6,liblinear,false,0.5,false,39.5430516,0.006044693190386075,0.003348571709779539,0.004661121532677083,0.004988214865923269,0.006132755226207656,0.004874853202817745,0.006474263082169592
complex_6,liblinear,false,1.0,false,94.3895353,0.004780007689430341,0.0020938534724068906,0.002194553760744571,0.0005365453810207793,0.004948811256095639,0.002832446857292305,0.006023888608955693
complex_6,libsvm,true,1.0,false,4852.1434939,0.2136112764040913,0.0003166483751725734,0.07154168266790151,-0.011005485694391897,0.22033699888290303,0.0926017598520817,0.2751237179408499
