dataset,clf,adaptive_quads_enabled,window_ratio,is_parallel,time,ireos_sdo,ireos_abod,ireos_hbos,ireos_iforest,ireos_knn,ireos_lof,ireos_ocsvm
low-noise_19,decision_tree_native,false,0.1,false,5.0722118,0.609705896632085,0.504101475527731,0.5982900692935624,0.49621060569623887,0.6098697205195518,0.5672345762943316,0.6163156337636789
low-noise_19,decision_tree_native,false,0.5,false,22.3476309,0.5947124665539543,0.5217273745853631,0.5888840464505601,0.5078864296528239,0.5944560667725558,0.5591292863730084,0.6006814009950399
low-noise_19,decision_tree_native,false,1.0,false,55.5923588,0.5200238201972708,0.4538690990313055,0.5322277879021674,0.4404204444937232,0.520161236824476,0.48754051212216776,0.5295614978383824
low-noise_19,decision_tree_sklearn,false,0.1,false,2.5979914,0.991816459362322,0.8321375444697247,0.9954774403752116,0.8447680289264285,0.9917079188412719,0.936633701496327,1.0000744872896083
low-noise_19,decision_tree_sklearn,false,0.5,false,8.8402964,0.9852475848711518,0.7482372428439383,1.0129397480081028,0.7176880974224121,0.9846989254274551,0.8820199032621405,1.0029759488621302
low-noise_19,decision_tree_sklearn,false,1.0,false,17.4920015,0.9356442088998853,0.46646775472259366,1.039080026572303,0.38733620716319955,0.9289285026798083,0.6957841656910665,1.0012016385300644
low-noise_19,random_forest_native,false,0.1,false,2.1332641,0.20205878107096897,0.12119400950741827,0.23125572778666406,0.1200161504941697,0.2021292880502596,0.173502838976018,0.20650147716822304
low-noise_19,random_forest_native,false,0.5,false,13.4611742,0.2944838202170854,0.2026847008004084,0.287703762619805,0.1975107383501598,0.29425030079198733,0.2560287913829206,0.30073156631268655
low-noise_19,random_forest_native,false,1.0,false,70.8681793,0.17830576209824722,0.0914448173017742,0.18387535285185289,0.06321469834030294,0.17814374306529882,0.13551933689397536,0.1842150121249058
low-noise_19,random_forest_sklearn,false,0.1,false,3.7241601,0.20205878107096897,0.12119400950741827,0.23125572778666406,0.1200161504941697,0.2021292880502596,0.173502838976018,0.20650147716822304
low-noise_19,random_forest_sklearn,false,0.5,false,11.2846115,0.2944838202170854,0.2026847008004084,0.287703762619805,0.1975107383501598,0.29425030079198733,0.2560287913829206,0.30073156631268655
low-noise_19,random_forest_sklearn,false,1.0,false,55.6303544,0.17830576209824722,0.0914448173017742,0.18387535285185289,0.06321469834030294,0.17814374306529882,0.13551933689397536,0.1842150121249058
low-noise_19,liblinear,false,0.1,false,4.4927936,0.020320713229734697,0.005077664379227785,0.01945235783658762,-0.0001660697693846112,0.01982513180112485,0.008517174675262196,0.02360776602810625
low-noise_19,liblinear,false,0.5,false,26.4732934,0.0016920714387203542,0.0015367202790635965,0.0032570856308468473,0.0018368840882463933,0.0016954690276639324,0.0018712770035840243,0.0016743279190953046
low-noise_19,liblinear,false,1.0,false,73.1563525,0.008618314003527907,0.000764462534045539,0.007548649062747749,-0.0018161531143980217,0.007701734794363158,0.0016793983547440773,0.010680548743836484
low-noise_19,libsvm,true,1.0,false,2338.6702369,0.0013381753858068698,0.00037079492231014907,0.0011591535103046041,7.05400033852029e-5,0.0014055863742447317,0.0010364329264457134,0.0013790483387025989
